Feature Phi (degrees),Feature Theta (degrees),Target Phi (degrees),Target Theta (degrees),reference
-11.479299610959963,110.6695542229771,176.63223122384338,87.37383190319962,0
-11.430529128603881,109.83488233012874,176.40797554282918,86.25732394473086,0
-11.790366978965507,109.59437063797729,176.61435494063528,85.80115328289713,0
-11.40629690697313,109.3624513376704,176.10144312243418,85.64346154669005,0
-12.106666137345181,110.34399814373019,177.25068186790762,86.56112794010542,0
-12.286991233982382,110.54720997397561,177.47734397166136,86.92248210825413,0
-11.624615718507744,110.80905078383692,176.96500511125535,87.26101192967599,0
-11.454863151921863,110.5221804202562,176.81592149296233,87.16310031798167,0
-11.783024539469693,111.13029696680405,177.38108706207933,87.70638921256504,0
-12.331971541146745,111.68090037076433,177.90419752903378,88.52994614221458,0
-12.184569899307334,111.54133787299855,177.76187481272328,88.29372710243805,0
-11.821001257181495,111.67489866039075,177.33513584690988,88.60935694670412,0
-12.063489506138602,111.4429856084947,177.5666107961427,88.25683664184075,0
-12.479861093669937,111.82052313194019,178.17451901677651,88.6993193419488,0
-11.993804970279013,112.07100899208865,177.76943785561903,89.37841298496525,0
-11.237127180314328,112.29443197657477,177.25618226274082,89.84075050613951,0
-11.261443234784243,112.55056269714896,177.32596852218776,90.0923233480536,0
-10.965137848337887,113.02750939502837,176.95984849109917,90.56792126692851,0
-11.703944581481272,113.08047265300274,177.85205836967688,90.72159118318845,0
-11.811077350393024,112.40449213946548,177.52776425763284,89.77803042058837,0
-11.261443234784243,112.55056269714896,177.09953560155208,90.08400300392174,0
-10.76248190383039,112.13148753847628,176.69835055340147,89.92804496924778,0
-10.234682504293845,112.42324305619842,176.40350647202715,90.45313765244943,0
-10.357303990065589,112.62803504476175,176.47363650615117,90.76049719471746,0
-10.548233998116695,112.85771446992513,176.83975653723977,91.06151661520768,0
-10.86534982500881,113.61199603554623,177.388306330298,91.66416852102896,0
-10.4934639813985,114.06009743735225,177.09139960086122,92.60332312359293,0
-8.95775954601768,113.85187534817611,176.06889911967073,92.51451695717884,0
-9.082416347639708,114.00272279183703,175.58715620552476,93.18811708085559,0
-8.775220801955033,113.29937031857581,175.2256198367972,92.24146360666894,0
-9.704378938329608,113.91189513227165,176.29888437863627,92.49108871293595,0
-9.826068291734627,112.91931612033099,175.78184726431022,91.48209972247024,0
-9.538402375716007,113.40660389378381,175.91282541627712,91.68129652135661,0
-10.032620383759022,113.16408266534357,176.17306284682556,91.51069146236287,0
-10.42494432561258,112.9722737642878,176.53975583570926,91.1209811545669,0
-9.702771127328104,112.82070151566431,176.06019016118478,90.89769801211415,0
-10.771107307086123,113.00928629268321,176.98792342306058,91.16025557795818,0
-10.941271022691254,113.51277266663475,177.5525160343825,91.70977825335257,0
-11.593685495885307,113.27099253544857,177.84609960860755,91.45067527923851,0
-11.064413868789693,113.23980317142492,177.42440267139122,91.23415452845856,0
-10.032620383759022,113.05810008514307,176.37508776538868,91.0664337390055,0
-9.455947815740032,112.16875057876666,175.21840056857855,90.22696829239948,0
-9.17068124910499,111.45589914145671,174.86717744016337,89.22563401807673,0
-7.777669924983901,110.9898649922455,173.72309531484612,89.14560533590091,0
-8.294171835597474,111.5663379710612,174.26969705140095,89.79561587041964,0
-8.206862226462887,112.24592724044449,174.50094281751572,90.9247582358204,0
-8.48999818776653,112.58676656037728,174.60270012193095,91.19507193133711,0
-7.187114750657319,111.83236558071087,173.35181866360136,90.26004422917991,0
-7.226202665923579,112.5815049651347,173.46893123692612,91.52205321544031,0
-8.402870666663604,113.42562927938351,174.8019748430775,92.5841966464759,0
-8.402870666663603,113.21381811210405,175.0280639890361,92.07425160373795,0
-8.421262738393315,113.47103180932852,175.1515936896663,92.40617865952873,0
-7.664441436222742,113.59274103024443,174.5617909353586,92.81856847032091,0
-7.718389837251757,113.67238970052986,174.50415138116847,92.88182988639691,0
-7.643908777421633,114.50231203425217,174.672944747614,93.97572205477627,0
-7.992715321603909,114.84326835289514,175.3223351126153,94.4925036299257,0
-7.866787791093893,115.16327346791185,174.84448831147617,95.1728692392473,0
-7.078262164752852,114.5823607227139,174.39150787864574,94.81626374530467,0
-7.947340400567652,115.10405813703248,175.23513093619636,95.09902529269527,0
-6.937048600046838,114.54066172511669,174.16759597230862,94.27138317396644,0
-6.029259037212789,114.06390686375805,173.19826597450628,94.17217209399277,0
-5.890722243481156,113.81152590987791,172.97939609676632,94.10319485095255,0
-6.622707983069498,114.29226491602775,174.00670942343586,94.2584457869524,0
-7.7236884328644875,114.80855489174837,175.0894850646741,94.54031466609817,0
-7.252101140029921,115.24422055253291,174.65094316828097,95.2455202876699,0
-7.581131075356507,114.4530133860966,174.44651182697828,94.27454704691115,0
-7.220020128088395,114.62406023085813,174.58745944458047,94.54399878472086,0
-6.468313153037828,114.25606198296886,173.36236108703176,93.61872465770173,0
-6.002853833759115,113.28499245491764,172.88531642680587,93.27006838020873,0
-6.502408142987608,113.31809570374882,173.04780725750493,93.03292114880409,0
-6.868924010979347,113.06767878649762,173.36132976300053,92.50700777231584,0
-7.265715780224836,113.33059260637984,173.94517375623883,92.91952936340091,0
-6.999867010030678,114.11742468876419,174.05529624446297,93.9873783081604,0
-7.329838550026195,114.46540722842829,174.5617909353586,94.52256443360501,0
-7.439114400112278,113.99122962398235,174.37408996167377,93.58738386630807,0
-8.055650030139068,114.94447142739641,175.39899686560378,94.5794007009664,0
-8.64023228397154,114.96081644576898,175.77210698179297,94.34121756186816,0
-8.370027301583017,114.71788411647684,175.4424270664747,94.20212288977544,0
-8.020182409915936,114.43035646940378,174.93031738918677,93.98668617514387,0
-8.93104123670089,115.35596997563883,176.1040787282918,95.07836787234963,0
-9.288432376422305,115.17977661214519,176.44693667289806,94.9364141408592,0
-8.67861887642255,115.47531762800064,176.04174092018152,95.3512711079172,0
-8.887696605686203,115.82492311179945,176.51523324207764,95.65639176030498,0
-9.138199855367072,116.48060826157568,176.95411891314788,96.39644123722982,0
-9.645968663512193,116.24059455501254,177.31439477472614,95.93610402630992,0
-8.795109102253498,115.75458036622497,176.06626351381314,95.00648802511928,0
-8.64023228397154,114.96081644576898,175.39097545647198,94.55184372285179,0
-7.884230947056044,114.79313441628088,175.1297067018923,95.16918512062462,0
-8.11856517702234,114.94105306747885,175.26309127659874,94.7011771507435,0
-8.136551770007257,115.09378911230098,175.29322885662265,95.01480508047341,0
-7.8186526088222825,116.22298331657105,175.55988341447653,96.07081671718547,0
-8.41159637394451,116.93985427757762,176.5654243449311,97.36452562478553,0
-8.46348866668421,116.31540259270005,176.21672223081453,96.40037287362,0
-8.628979234944207,116.61554208402003,176.306562013091,96.61849217664836,0
-8.430597680983894,117.40276120263196,176.45873960347777,97.7992493304319,0
-9.64851008376788,117.6388553603298,177.40526588103387,98.14691668277052,0
-9.62671158886253,117.43266675601068,177.61061395480874,97.58723088200611,0
-9.179280844356562,116.89190823786892,177.0151962141088,97.23784121853534,0
-9.158694676306062,116.84049275963815,176.7528961354979,97.12739214436797,0
-8.943862831022704,117.16575452639513,176.95010820858195,97.3647662670595,0
-9.051556451366926,117.61585224954395,177.20473065273808,98.05223196937838,0
-8.597870015356774,118.01092864649954,176.8021705058792,98.58789937937091,0
-8.960612309163416,118.4021808027489,177.22994079572388,99.18741835196842,0
-9.241593525174679,117.66350114668609,176.9889547470918,98.24148107502569,0
-9.391300188190057,118.01361444936813,177.44846689878673,98.6130235786874,0
-8.637046085599362,118.22007251232988,176.8995733310514,99.14722994630235,0
-8.339757647611675,117.9250660930037,176.66844215649562,98.98562147060775,0
-8.566030908591232,118.69661946311538,177.0996501931111,99.69290119939785,0
-8.676578054881018,119.03747248243562,177.5472448226673,100.21836766880588,0
-8.396938353786945,118.79742160890258,176.95148330729026,99.73623285152802,0
-8.682029532358223,118.0094983877003,176.6455238446904,98.77824512623809,0
-8.127486992855163,117.78138264263323,176.30896843583054,98.57625000148032,0
-8.21057284034438,118.03466031953019,176.4288312065719,98.91572291143297,0
-7.537680697127132,117.88962627776343,175.90514778182234,98.66280673559073,0
-7.15786206489166,117.83507253492141,175.53593377864004,99.19715061307652,0
-7.745864117021649,118.9373214322545,176.56737240143457,100.46886481683708,0
-7.6154018999536355,118.84384932274894,176.30988516830274,100.39124278658393,0
-7.06036609853987,118.45872976243875,175.88085437130883,100.12287852266938,0
-7.305656567756107,119.01833238946564,176.39823526031196,100.79452944392709,0
-7.026442558791142,120.00834250048285,176.5198169044387,101.96181177628473,0
-7.6504584197818195,119.55856103317792,175.95018226451967,101.53649374580321,0
-5.649657946781983,119.19302370310888,174.80930870285513,101.42134756363137,0
-5.087804352392865,118.18598761654985,174.2818437566577,100.87757853041569,0
-5.087804352392866,118.59275873292549,174.15143856248594,100.87589174266684,0
-5.3864448494473,119.15344513124727,174.57634406335495,101.47791454082906,0
-4.991200677606178,119.26951552176857,174.7044574263462,101.75067682877904,0
